dataset.format_name,dataset.display_name (series title),dataset.source,dataset.dbxref_id,dataset.dbxref_type,assay name,dataset.assay_id (obi_id),taxon_id,dataset.channel_count,dataset.sample_count,dataset.is_in_spell,dataset.is_in_browser,dataset.description (series_summary),datasetlab.lab_name,datasetlab.lab_location,keywords (|),pmids (|),dbentity.display_name,dataset_url.obj_url,dataset_url.url_type
PRJNA189925,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189925,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1460_Duke_2015_PRJNA189925.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189925,SRA
PRJNA189926,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189926,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1463_Duke_2015_PRJNA189926.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189926,SRA
PRJNA189927,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189927,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1477_Duke_2015_PRJNA189927.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189927,SRA
PRJNA189928,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189928,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1478_Duke_2015_PRJNA189928.tar.gz,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189928,SRA
PRJNA189929,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189929,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1479_Duke_2015_PRJNA189929.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189929,SRA
PRJNA189930,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189930,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1526_Duke_2015_PRJNA189930.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189930,SRA
PRJNA189931,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189931,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1527_Duke_2015_PRJNA189931.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189931,SRA
PRJNA189932,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189932,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1549_Duke_2015_PRJNA189932.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189932,SRA
PRJNA189933,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189933,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1573_Duke_2015_PRJNA189933.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189933,SRA
PRJNA189934,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189934,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1574_Duke_2015_PRJNA189934.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189934,SRA
PRJNA189935,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189935,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1592_Duke_2015_PRJNA189935.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189935,SRA
PRJNA189936,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189936,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1615_Duke_2015_PRJNA189936.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189936,SRA
PRJNA189847,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189847,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM189_Duke_2015_PRJNA189847.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189847,SRA
PRJNA189848,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189848,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM193_Duke_2015_PRJNA189848.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189848,SRA
PRJNA189849,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189849,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM195_Duke_2015_PRJNA189849.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189849,SRA
PRJNA189850,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189850,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM244_Duke_2015_PRJNA189850.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189850,SRA
PRJNA189851,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189851,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM248_Duke_2015_PRJNA189851.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189851,SRA
PRJNA189852,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189852,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM270_Duke_2015_PRJNA189852.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189852,SRA
PRJNA189853,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189853,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM271_Duke_2015_PRJNA189853.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189853,SRA
PRJNA189854,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189854,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM320_Duke_2015_PRJNA189854.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189854,SRA
PRJNA189855,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189855,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM326_Duke_2015_PRJNA189855.tar.gz,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189855,SRA
PRJNA189856,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189856,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM428_Duke_2015_PRJNA189856.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189856,SRA
PRJNA189857,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189857,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM450_Duke_2015_PRJNA189857.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189857,SRA
PRJNA189858,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189858,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM451_Duke_2015_PRJNA189858.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189858,SRA
PRJNA189859,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189859,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM453_Duke_2015_PRJNA189859.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189859,SRA
PRJNA189860,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189860,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM456_Duke_2015_PRJNA189860.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189860,SRA
PRJNA189861,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189861,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM470_Duke_2015_PRJNA189861.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189861,SRA
PRJNA189862,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189862,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM541_Duke_2015_PRJNA189862.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189862,SRA
PRJNA189863,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189863,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM554_Duke_2015_PRJNA189863.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189863,SRA
PRJNA189864,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189864,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM555_Duke_2015_PRJNA189864.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189864,SRA
PRJNA189865,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189865,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM627_Duke_2015_PRJNA189865.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189865,SRA
PRJNA189866,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189866,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM681_Duke_2015_PRJNA189866.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189866,SRA
PRJNA189867,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189867,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM682_Duke_2015_PRJNA189867.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189867,SRA
PRJNA189868,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189868,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM683_Duke_2015_PRJNA189868.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189868,SRA
PRJNA189869,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189869,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM689_Duke_2015_PRJNA189869.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189869,SRA
PRJNA189870,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189870,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM693_Duke_2015_PRJNA189870.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189870,SRA
PRJNA189871,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189871,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM969_Duke_2015_PRJNA189871.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189871,SRA
PRJNA189872,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189872,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM972_Duke_2015_PRJNA189872.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189872,SRA
PRJNA189873,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189873,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM975_Duke_2015_PRJNA189873.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189873,SRA
PRJNA189874,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189874,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM978_Duke_2015_PRJNA189874.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189874,SRA
PRJNA189875,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189875,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM981_Duke_2015_PRJNA189875.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189875,SRA
PRJNA189876,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189876,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM984_Duke_2015_PRJNA189876.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189876,SRA
PRJNA189877,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189877,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM987_Duke_2015_PRJNA189877.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189877,SRA
PRJNA189878,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189878,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM990_Duke_2015_PRJNA189878.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189878,SRA
PRJNA189879,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189879,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM993_Duke_2015_PRJNA189879.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189879,SRA
PRJNA189880,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189880,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM996_Duke_2015_PRJNA189880.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189880,SRA
